time,IRL,VDS,VAC,Unnamed: 4
0.47428,3.88392e-09,5.0,0.530973,
0.47528,3.87267e-09,5.0,0.510499,
0.47628,3.86095e-09,5.0,0.490004,
0.47728,3.84958e-09,5.0,0.46949,
0.47828,3.83774e-09,5.0,0.448957,
0.47928,3.82625e-09,5.0,0.428407,
0.48028,3.81429e-09,5.0,0.407839,
0.48128,3.80269e-09,5.0,0.387256,
0.48228,3.79061e-09,5.0,0.366657,
0.48328,3.77889e-09,5.0,0.346044,
0.48428,3.76671e-09,5.0,0.325417,
0.48528,3.75488e-09,5.0,0.304777,
0.48628,3.74259e-09,5.0,0.284125,
0.48728,3.73065e-09,5.0,0.263462,
0.48828,3.71826e-09,5.0,0.242789,
0.48928,3.70622e-09,5.0,0.222106,
0.49028,3.69373e-09,5.0,0.201414,
0.49128,3.6816e-09,5.0,0.180714,
0.49228,3.66901e-09,5.0,0.160008,
0.49328,3.65678e-09,5.0,0.139295,
0.49428,3.6441e-09,5.0,0.118576,
0.49528,3.63179e-09,5.0,0.0978525,
0.49628,3.61902e-09,5.0,0.0771254,
0.49728,3.60662e-09,5.0,0.0563951,
0.49828,3.59377e-09,5.0,0.0356627,
0.49928,3.58129e-09,5.0,0.0149288,
0.50028,3.56836e-09,5.0,-0.00580566,
0.50128,3.5558e-09,5.0,-0.0265399,
0.50228,3.54279e-09,5.0,-0.0472731,
0.50328,3.53015e-09,5.0,-0.0680044,
0.50428,3.51707e-09,5.0,-0.088733,
0.50528,3.50436e-09,5.0,-0.109458,
0.50628,3.4912e-09,5.0,-0.130179,
0.50728,3.47842e-09,5.0,-0.150895,
0.50828,3.4652e-09,5.0,-0.171604,
0.50928,3.45236e-09,5.0,-0.192307,
0.51028,3.43907e-09,5.0,-0.213003,
0.51128,3.42616e-09,5.0,-0.23369,
0.51228,3.41281e-09,5.0,-0.254367,
0.51328,3.39984e-09,5.0,-0.275035,
0.51428,3.38643e-09,5.0,-0.295692,
0.51528,3.3734e-09,5.0,-0.316337,
0.51628,3.35993e-09,5.0,-0.336969,
0.51728,3.34684e-09,5.0,-0.357589,
0.51828,3.33332e-09,5.0,-0.378194,
0.51928,3.32018e-09,5.0,-0.398784,
0.52028,3.3066e-09,5.0,-0.419359,
0.52128,3.29341e-09,5.0,-0.439917,
0.52228,3.27978e-09,5.0,-0.460458,
0.52328,3.26654e-09,5.0,-0.48098,
0.52428,3.25286e-09,5.0,-0.501483,
0.52528,3.23957e-09,5.0,-0.521967,
0.52628,3.22585e-09,5.0,-0.54243,
0.52728,3.21251e-09,5.0,-0.562872,
0.52828,3.19874e-09,5.0,-0.583291,
0.52928,3.18536e-09,5.0,-0.603688,
0.53028,3.17155e-09,5.0,-0.62406,
0.53128,3.15813e-09,5.0,-0.644408,
0.53228,3.14428e-09,5.0,-0.664731,
0.53328,3.13081e-09,5.0,-0.685027,
0.53428,3.11692e-09,5.0,-0.705296,
0.53528,3.10342e-09,5.0,-0.725537,
0.53628,3.08949e-09,5.0,-0.74575,
0.53728,3.07595e-09,5.0,-0.765933,
0.53828,3.06199e-09,5.0,-0.786086,
0.53928,3.04841e-09,5.0,-0.806208,
0.54028,3.03441e-09,5.0,-0.826299,
0.54128,3.0208e-09,5.0,-0.846356,
0.54228,3.00677e-09,5.0,-0.86638,
0.54328,2.99313e-09,5.0,-0.88637,
0.54428,2.97906e-09,5.0,-0.906325,
0.54528,2.96539e-09,5.0,-0.926244,
0.54628,2.9513e-09,5.0,-0.946127,
0.54728,2.93759e-09,5.0,-0.965972,
0.54828,2.92347e-09,5.0,-0.985779,
0.54928,2.90974e-09,5.0,-1.00555,
0.55028,2.89558e-09,5.0,-1.02528,
0.55128,2.88182e-09,5.0,-1.04496,
0.55228,2.86764e-09,5.0,-1.06461,
0.55328,2.85386e-09,5.0,-1.08422,
0.55428,2.83965e-09,5.0,-1.10378,
0.55528,2.82584e-09,5.0,-1.1233,
0.55628,2.81161e-09,5.0,-1.14277,
0.55728,2.79777e-09,5.0,-1.1622,
0.55828,2.78352e-09,5.0,-1.18158,
0.55928,2.76966e-09,5.0,-1.20092,
0.56028,2.75538e-09,5.0,-1.22021,
0.56128,2.7415e-09,5.0,-1.23945,
0.56228,2.7272e-09,5.0,-1.25864,
